Test Name,ID,Date,Location,Completed,Team Size,Depart Time,Arrival Time,Port Batt Pre,STBD Batt Pre,RC Batt Pre,Temp (F),Water Temp ,Avg Water Speed,Start Time ,End Time,Port Batt Post,STBD Batt Post,RC Batt Post,Leave Time,setup,survey,pack,total,portloss,stbdloss,rcloss,setuptime,surveytime,packtime,totaltime
Test1_Functionality,1,12/6/2023,Hechenbleikner,Complete,2,12:30,12:37,98,94,,52,,,13:20,14:19,92,92,,15:00,0:43:00,0:59:00,0:41:00,2:23:00,6,2,0,43,59,41,143
Test2_RCV,2,2/29/2024,Hechenbleikner,Complete,2,12:30,12:40,96,81,,51,,,12:59,13:40,86,75,,14:20,0:19:00,0:41:00,0:40:00,1:40:00,10,6,0,19,41,40,100
Test3_Software,3,3/28/2024,Hechenbleikner,Complete,2,14:40,14:49,86,99,,62,,,15:01,16:02,66,88,,16:30,0:12:00,1:01:00,0:28:00,1:41:00,20,11,0,12,61,28,101
Test4_Auto,4,4/5/2024,Hechenbleikner,Complete,2,,13:57,94,96,,58,,,14:10,15:16,75,88,,15:30,0:13:00,1:06:00,0:14:00,1:33:00,19,8,0,13,66,14,93
Test5_Auto,5,4/10/2024,Hechenbleikner,Complete,1,12:21,12:53,80,75,,63,,,13:25,14:09,68,73,,14:43,0:32:00,0:44:00,0:34:00,1:50:00,12,2,0,32,44,34,110
Test6_BlindDeploy,6,4/12/2024,Hechenbleikner,Complete,3,13:55,14:01,93,90,,69,,,14:27,15:10,86,89,,15:42,0:26:00,0:43:00,0:32:00,1:41:00,7,1,0,26,43,32,101
Test7_BlindDeploy,7,4/26/2024,Hechenbleikner,Complete,2,12:48,13:15,72,88,,67,,,13:38,14:10,63,82,,15:10,0:23:00,0:32:00,1:00:00,1:55:00,9,6,0,23,32,60,115
Test8_FullLakeTest,8,5/28/2024,Hechenbleikner,Complete,3,12:40,12:45,74,98,,80,,0.2,13:22,13:57,66,91,,14:16,0:37:00,0:35:00,0:19:00,1:31:00,8,7,0,37,35,19,91
Test9_Latta,9,6/12/2024,Latta Nature Preserve,Complete,2,10:30,10:51,100,100,8.7,78,,0.2,11:15,11:50,81,95,8.5,12:10,0:24:00,0:35:00,0:20:00,1:19:00,19,5,0.2,24,35,20,79
Test10_Cowans,10,6/12/2024,Cowans Access Point,Complete,2,,13:20,81,95,8.5,84,,0.4,13:30,13:45,76,93,8.5,13:58,0:10:00,0:15:00,0:13:00,0:38:00,5,2,0,10,15,13,38
Test12_Latta_2,12,6/18/2024,Latta Kayak Ramp,Complete,2,9:11,9:47,99,99,8.5,80,,,10:06,12:20,35,73,8.3,12:40,0:19:00,2:14:00,0:20:00,2:53:00,64,26,0.2,19,134,20,173
