Var1,Var2,Var3
PTS,35.30372182,-80.73098231
PTS,35.30381675,-80.73132173
PTS,35.30381132,-80.73172972
PTS,35.30382945,-80.73172171
PTS,35.30383424,-80.73136267
PTS,35.30385172,-80.73140361
PTS,35.30384759,-80.73171371
PTS,35.30386572,-80.7317057
PTS,35.3038692,-80.73144454
PTS,35.3038692,-80.73143255
PTS,35.30372889,-80.73110401
PTS,35.30372703,-80.73106956
PTS,35.30387628,-80.731419
PTS,35.30389023,-80.73140407
PTS,35.3037241,-80.7310151
PTS,35.30373719,-80.73099816
PTS,35.30390417,-80.73138913
PTS,35.30391812,-80.7313742
PTS,35.3037651,-80.73101591
PTS,35.303793,-80.73103365
PTS,35.30393207,-80.73135926
PTS,35.30394602,-80.73134433
PTS,35.30382091,-80.7310514
PTS,35.30384882,-80.73106915
PTS,35.30395996,-80.73132939
PTS,35.30397391,-80.73131446
PTS,35.30387672,-80.7310869
PTS,35.30390463,-80.73110465
PTS,35.30398786,-80.73129952
PTS,35.30400181,-80.73128459
PTS,35.30393253,-80.73112239
PTS,35.30396044,-80.73114014
PTS,35.30401575,-80.73126966
LNN,1,NaN
EOL,NaN,NaN
