Var1,Var2,Var3
PTS,35.35124678,-80.97308009
PTS,35.35109029,-80.97329024
PTS,35.35106576,-80.97326571
PTS,35.35121999,-80.97305819
PTS,35.35119537,-80.97302816
PTS,35.35103663,-80.97324657
PTS,35.35100759,-80.97321389
PTS,35.35117075,-80.97299823
PTS,35.35111708,-80.9729409
PTS,35.35095166,-80.97312652
PTS,35.35091586,-80.97310749
PTS,35.35109472,-80.97291901
PTS,35.35106784,-80.97288633
PTS,35.35088898,-80.9730747
PTS,35.35086219,-80.97303102
PTS,35.35104105,-80.97286719
PTS,35.3509762,-80.97279083
PTS,35.35081781,-80.97294475
PTS,35.35077452,-80.97289645
PTS,35.350933,-80.97273813
PTS,35.35087176,-80.97265461
PTS,35.35072411,-80.97285244
PTS,35.35067369,-80.97278653
PTS,35.35082846,-80.9725843
PTS,35.35132431,-80.97301149
PTS,35.35286823,-80.97283114
LNN,1,NaN
EOL,NaN,NaN
