Time,Corr Depth 1,Corr Depth 2,Lat,Lon,Speed,Depth,Depth2,pitch,roll,yaw
1:38:54 PM,,,35.30369367,-80.730934,0.1,2.56,9.2,-1.6,0.6,34.39
1:38:55 PM,,,35.30369441,-80.73093383,0.1,2.52,9.21,-1.1,0.7,40.13
1:38:56 PM,,,35.30369535,-80.73093324,0.2,2.49,6.8,-1.1,0.6,34.39
1:38:58 PM,,,35.30369598,-80.73093339,0.1,2.52,6.87,-1,0.9,51.59
1:38:59 PM,,,35.30369675,-80.73093322,0.1,2.48,8.16,-1.4,0.7,40.13
1:39:01 PM,,,35.30369721,-80.73093331,0,2.33,7.53,-0.9,0.5,28.66
1:39:02 PM,,,35.30369747,-80.7309331,0,2.46,7.81,-1.4,0.6,34.39
1:39:03 PM,,,35.30369768,-80.73093319,0,2.48,9.29,-1.5,0.6,34.39
1:39:05 PM,,,35.30369796,-80.73093328,0,2.52,9.13,-1.1,0.7,40.13
1:39:06 PM,,,35.3036982,-80.73093307,0,2.4,7.59,-1.4,0.5,28.66
1:39:08 PM,,,35.3036976,-80.73093294,0.3,2.45,4.67,-0.5,1.2,68.79
1:39:09 PM,,,35.30369527,-80.73093415,0.6,2.76,5.62,-5.8,6.19,354.84
1:39:10 PM,,,35.30369537,-80.73094355,1.7,1.65,20.44,-3.2,5.9,338.22
1:39:12 PM,,,35.30369357,-80.73096182,2.4,3.21,3.85,-2.2,-0.99,-56.75
1:39:13 PM,,,35.30369823,-80.73098212,2.9,3.21,5.06,3.2,-5.98,-342.80
1:39:15 PM,,,35.30370306,-80.73100011,2.8,5.99,6.28,-7.9,-3,-171.97
1:39:16 PM,,,35.30371088,-80.73101931,2.4,6.43,5.65,-8.7,-3.19,-182.87
1:39:17 PM,,,35.30372699,-80.73102672,2.9,6.43,6.75,-8.9,-0.6,-34.39
1:39:19 PM,,,35.30374502,-80.73102381,2.7,6.25,6.07,-1.5,4.2,240.76
1:39:20 PM,,,35.30376534,-80.73102587,3.2,5.65,5.59,-8.5,-6.07,-347.96
1:39:22 PM,,,35.30378471,-80.73102861,3.2,5.52,5.39,-3,4.1,235.03
1:39:23 PM,,,35.30380469,-80.73103391,3.1,5.13,5.31,-0.2,6.32,362.29
1:39:24 PM,,,35.30382412,-80.73103913,3,5.07,4.85,3.7,-2.37,-135.86
1:39:26 PM,,,35.30384005,-80.73104621,3.1,5.07,5.11,-4.1,2.8,160.51
1:39:27 PM,,,35.30385766,-80.73105865,3.1,5.12,5.18,-3,-0.09,-5.16
1:39:29 PM,,,35.30387455,-80.73107226,3,5.01,4.97,0.6,5.2,298.09
1:39:30 PM,,,35.30389009,-80.73108661,3.2,5.01,5.33,-7.6,-0.49,-28.09
1:39:31 PM,,,35.30390425,-80.73110511,3.1,5.32,5.01,-3.5,3.6,206.37
1:39:33 PM,,,35.30391986,-80.73112046,3.1,5.32,5.67,1.5,5.38,308.41
1:39:34 PM,,,35.30393289,-80.73114024,3.1,5.53,5.57,-2.6,3.2,183.44
1:39:36 PM,,,35.30394622,-80.73115773,3.1,5.53,5.08,-3,6.48,371.46
1:39:37 PM,,,35.30395786,-80.73117867,3.1,5.53,5.56,-7,-2.39,-137.01
1:39:38 PM,,,35.30397096,-80.73119776,3.2,5.96,6.04,-3.4,9.78,560.64
1:39:40 PM,,,35.30398007,-80.73121911,3,6.33,6.9,-0.4,1.12,64.20
1:39:41 PM,,,35.30398286,-80.73124244,2.9,7.41,8.11,-1.6,7.86,450.57
1:39:43 PM,,,35.3039773,-80.73126458,2.9,8.31,8.84,0.7,8.78,503.31
1:39:44 PM,,,35.30396481,-80.73128268,2.6,9.05,9.48,-0.2,6.49,372.04
1:39:45 PM,,,35.30394704,-80.73129181,3.2,10.19,10.83,-0.7,3.86,221.27
1:39:47 PM,,,35.30392764,-80.73129913,3,11.86,12.24,-3.4,1.91,109.49
1:39:48 PM,,,35.3039103,-80.7313108,3,11.99,12.38,-3.1,2.92,167.39
1:39:50 PM,,,35.30389074,-80.73132032,3.2,11.9,11.78,-1.7,0.72,41.27
