"Corr. Depth 1","Corr. Depth 2","GPS Latitude","GPS Longitude","Speed","Time","Raw Depth 1","Raw Depth 2"
4.44,4.41,35.30375006,-80.73101319,0.1,14:44:27.353,4.44,4.41
4.44,6.57,35.30375822,-80.73102045,4.9,14:44:29.953,4.44,6.57
7.73,8.25,35.30376719,-80.73105847,7.2,14:44:32.553,7.73,8.25
7.72,7.39,35.30376837,-80.73110452,6.6,14:44:35.148,7.72,7.39
7.01,6.85,35.30377013,-80.73115151,6.9,14:44:37.733,7.01,6.85
6.44,6.15,35.30377178,-80.73119948,6.7,14:44:40.355,6.44,6.15
5.98,5.88,35.30377511,-80.73124631,7.0,14:44:42.955,5.98,5.88
5.86,6.44,35.30378088,-80.73129304,6.5,14:44:45.552,5.86,6.44
6.82,6.83,35.30380041,-80.73128939,6.7,14:44:48.152,6.82,6.83

