"Corr. Depth 1","Corr. Depth 2","GPS Latitude","GPS Longitude","Speed","Time","Raw Depth 1","Raw Depth 2"
4.49,4.95,35.30374765,-80.73100404,1.8,14:45:59.205,4.49,4.95
4.66,5.09,35.30375177,-80.73100767,2.5,14:46:00.597,4.66,5.09
5.83,6.87,35.30376153,-80.73102311,6.2,14:46:02.008,5.83,6.87
7.48,7.99,35.30376267,-80.73104929,6.9,14:46:03.391,7.48,7.99
7.99,3.75,35.30376366,-80.73107450,7.2,14:46:04.802,7.99,3.75
7.99,7.35,35.30376471,-80.73109987,6.7,14:46:06.201,7.99,7.35
7.12,6.94,35.30376520,-80.73112540,6.7,14:46:07.597,7.12,6.94
6.78,6.72,35.30376611,-80.73115092,7.0,14:46:09.002,6.78,6.72
6.49,6.42,35.30376704,-80.73117636,6.9,14:46:10.394,6.49,6.42
6.26,6.14,35.30376823,-80.73120177,6.7,14:46:11.798,6.26,6.14
5.87,3.68,35.30376767,-80.73122794,6.6,14:46:13.196,5.87,3.68
5.87,5.77,35.30377061,-80.73125325,6.7,14:46:14.601,5.87,5.77
5.39,5.81,35.30377191,-80.73127885,7.1,14:46:15.997,5.39,5.81
5.62,5.70,35.30377369,-80.73130452,6.8,14:46:17.402,5.62,5.70
5.62,6.12,35.30377925,-80.73132108,5.0,14:46:18.802,5.62,6.12
6.45,6.53,35.30379282,-80.73131468,5.6,14:46:20.199,6.45,6.53

